"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1797,155,20200806,2020,60.29956,-48.584,2270.549,1.59,19.6447665738091,14.2520781166844,1.58999999932926,4.49894109344786e-19,TRUE
1798,155,20200806,2020,60.29954,-48.58709,2129.298,1.799,16.7242390835686,14.8939594327851,1.79899999943445,3.1984334429579e-19,TRUE
1799,155,20200806,2020,60.30002,-48.59022,1971.413,1.629,18.9413547440515,14.4263361075006,1.62899999935165,4.20351440453802e-19,TRUE
1800,155,20200806,2020,60.30032,-48.59279,1790.314,1.761,16.9586730622729,14.8484916285949,1.76099999943604,3.18054125955901e-19,TRUE
1801,155,20200806,2020,60.30046,-48.59462,1610.837,2.066,14.4251553185591,14.4242572379959,1.92077049563449,0.0210916089382521,FALSE
1802,155,20200806,2020,60.30145,-48.59699,1410.157,2.247,16.5828160890114,16.5824029063767,1.82310931018506,0.179683316911788,FALSE
1803,155,20200806,2020,60.30228,-48.60016,1210.013,2.478,17.1466175656311,17.1457993640679,1.79985404579965,0.459881935198299,FALSE
1804,155,20200806,2020,60.30278,-48.60329,1010.169,2.319,16.3391491897479,16.3384845480722,1.80864786108584,0.260459305694257,FALSE
1805,155,20200806,2020,60.30392,-48.60702,830.453,2.364,16.7556877317245,16.7553284906616,1.77784833176504,0.343573778174626,FALSE
1806,155,20200806,2020,60.30476,-48.61027,660.976,2.399,17.155281421992,17.1547874488459,1.74121073196671,0.432686721139773,FALSE
1807,155,20200806,2020,60.30546,-48.61249,510.331,2.486,17.456924732653,17.4561590439965,1.71106784977771,0.600519837448139,FALSE
1808,155,20200806,2020,60.3062,-48.61503,370.3,2.65,18.1817908841354,18.1813949747423,1.67043194324382,0.959553577817081,FALSE
1809,155,20200806,2020,60.30672,-48.61756,250.241,2.894,19.3525599857132,19.3521433741779,1.56786118369074,1.75864416012212,FALSE
1810,155,20200806,2020,60.3075,-48.62036,150.2,2.912,19.4856618402702,19.4851957523656,1.53371734006324,1.89966309068236,FALSE
1811,155,20200806,2020,60.3076,-48.62168,99.784,3.048,19.547222293579,19.5468362825772,1.51038994493626,2.3642446814331,FALSE
1812,155,20200806,2020,60.30784,-48.62308,50.229,3.08,18.7528748760962,18.7521151605753,1.51969738992243,2.43454423501488,FALSE
1813,155,20200806,2020,60.30812,-48.62457,30.511,3.178,18.569481418559,18.5689578654575,1.51263043018486,2.77345580406626,FALSE
1814,155,20200806,2020,60.3084,-48.62601,20.297,3.394,18.8974701417575,18.8923749615688,1.65556098619225,3.02217020472886,FALSE
1815,155,20200806,2020,60.30852,-48.62764,10.254,3.532,18.1547691879614,18.1175766160284,1.69734185158138,3.36597052155886,FALSE
1816,155,20200806,2020,60.3084,-48.62926,2.431,3.651,17.3932565180436,17.3931472517494,1.71877538479426,3.73349196360698,FALSE
1817,161,20200807,2020,59.99752,-50.49848,3277.136,2.111,14.9108022490703,14.9103939017905,2.04755190170407,0.00402566117737064,FALSE
1818,161,20200807,2020,59.99709,-50.49834,3179.934,1.792,17.9158205957078,14.6578146929306,1.7919999993609,4.08444404639846e-19,TRUE
1819,161,20200807,2020,59.99666,-50.49844,3089.765,1.652,19.5031858629633,14.2894547359982,1.65199999931059,4.75288713994288e-19,TRUE
1820,161,20200807,2020,59.99616,-50.49844,2980.222,1.392,22.9167049170694,13.5796695017682,1.39199996314989,1.35793038339516e-15,TRUE
1821,161,20200807,2020,59.99578,-50.49848,2860.353,1.352,23.2990983296382,13.4004454063684,1.3519999813271,3.48677372847214e-16,TRUE
1822,161,20200807,2020,59.99554,-50.49842,2750.345,1.412,22.4039633284243,13.8209359134406,1.41199999935696,4.1350109715263e-19,TRUE
1823,161,20200807,2020,59.9951,-50.4984,2589.911,1.503,21.1268939404143,14.4406705813051,1.50299999935013,4.22328335854276e-19,TRUE
1824,161,20200807,2020,59.99452,-50.49874,2430.221,1.481,21.286487144188,14.3608072354121,1.48099999935807,4.12071072103792e-19,TRUE
1825,161,20200807,2020,59.99394,-50.49914,2229.519,1.63,18.8517240745369,14.4473983984998,1.62999999935668,4.13860990290706e-19,TRUE
1826,161,20200807,2020,59.99316,-50.49949,2009.568,1.502,20.70693815057,14.6541056584109,1.50199999934656,4.26983502640722e-19,TRUE
1827,161,20200807,2020,59.99256,-50.49984,1791.309,2.254,16.5584151635852,16.5577621785127,1.82870896270296,0.180872466405194,FALSE
